Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C35, C41",0603,3,22uF,
"C10, C11, C12, C13, C14, C15, C17, C22, C23, C24, C26, C38, C8, C9",0603,14,100nF,
C16,0603,1,1uF,
"C18, C20, C25, C27",0603,4,10u,
"C19, C3, C4, C5, C6",0603,5,0.01u,
C2,0603,1,1u,
"C21, C28",0603,2,20p,
C7,0603,1,4.7uF,
D1,D_SOD-323,1,BZT52B20-G,
"D2, D6, D7, D8",0603,4,LED,
"D3, D4, D5",D_SOD-323_HandSoldering,3,1N5819WS,
J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04_Pin,
"J3, J4",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,2,Conn_01x02_MountingPin,
J5,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,
J6,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,1,Conn_01x08_Socket,
L2,L_Changjiang_FNR4020S,1,4.7uH,
"Q1, Q10, Q2, Q5, Q6, Q9",DFN-8-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,6,WSD4070DN,
"R10, R31, R32, R35",0603,4,10k,
"R11, R12, R13, R14, R15, R20",0603,6,2.2Ω,
"R16, R17, R21, R22, R23, R24, R28, R29, R30",0603,9,10kΩ,
R18,0603,1,120Ω,
R19,0603,1,470Ω,
"R2, R4, R6",0603,3,4.7kΩ,
R26,0603,1,47kΩ,
R27,0603,1,249kΩ,
"R3, R5, R9",0603,3,100Ω,
"R33, R34",0603,2,1kΩ,
"R7, R8",1206,2,0.01Ω,
RY8411,SOT-23-6_Handsoldering,1,~,
"SW1, SW2",SW_SPST_SKQG_WithoutStem,2,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
"U2, U3",TSSOP-8_4.4x3mm_P0.65mm,2,INA240A2PWR,
U5,SOP-8_3.9x4.9mm_P1.27mm,1,SIT1042T,
U6,SOT-23-5,1,XC6210B332MR,
U8,TSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.15x3.35mm,1,EG2133,
USART1,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03,
Y2,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,16MHz,
